split,split_filename,config_i,context,dropout,ensemble_size,features,learning_rate,merge_method,n_hidden,n_units,residual_depth,data,cache,labels,structure_column,epochs,batch_size,val_data,rmse,pearson_r,spearman_rho,model_class,n_parameters
validation,data/train/validation/data.csv,121,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1177867650985718,0.785861054483188,0.6237261410792176,bilinear-fp,1804299
test,data/train/test/data.csv,121,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1104049682617188,0.8406975101839472,0.8314301202202631,bilinear-fp,1804299
training,data/train/train/data.csv,122,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9683538675308228,0.8573625048189959,0.843346444411375,bilinear-fp,1818699
validation,data/train/validation/data.csv,122,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1596826314926147,0.7698415398135751,0.6154114555627053,bilinear-fp,1818699
test,data/train/test/data.csv,122,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.15664541721344,0.8261576833576073,0.8171804304293134,bilinear-fp,1818699
training,data/train/train/data.csv,123,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8647923469543457,0.887933148181772,0.8796087996763426,bilinear-fp,3474123
validation,data/train/validation/data.csv,123,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0996336936950684,0.7935181927767152,0.6411483788431187,bilinear-fp,3474123
test,data/train/test/data.csv,123,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0769147872924805,0.8504278962991831,0.8433273821962116,bilinear-fp,3474123
training,data/train/train/data.csv,124,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8687775731086731,0.8868775628446567,0.8793539834076121,bilinear-fp,3593931
validation,data/train/validation/data.csv,124,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1373465061187744,0.78432491110333,0.64172097757396,bilinear-fp,3593931
test,data/train/test/data.csv,124,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0763235092163086,0.8507950696279335,0.8443449653653798,bilinear-fp,3593931
training,data/train/train/data.csv,125,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8900786638259888,0.8809099464761075,0.8721737853764026,bilinear-fp,3621003
validation,data/train/validation/data.csv,125,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1110942363739014,0.7874229033516514,0.6223555700140807,bilinear-fp,3621003
test,data/train/test/data.csv,125,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0895533561706543,0.8467408583834076,0.8386783743811392,bilinear-fp,3621003
training,data/train/train/data.csv,126,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.298080563545227,0.7236840607632742,0.6918808305677595,bilinear-fp,28707
validation,data/train/validation/data.csv,126,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4186047315597534,0.6568793836234471,0.50291974047913,bilinear-fp,28707
test,data/train/test/data.csv,126,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4886950254440308,0.6881303243958344,0.6717647004971148,bilinear-fp,28707
training,data/train/train/data.csv,127,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.265426754951477,0.7395763805627339,0.7068698131095892,bilinear-fp,41811
validation,data/train/validation/data.csv,127,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.3675861358642578,0.6827626381206616,0.538758646551368,bilinear-fp,41811
test,data/train/test/data.csv,127,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4671796560287476,0.6975940214075997,0.684991612419315,bilinear-fp,41811
training,data/train/train/data.csv,128,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2783409357070923,0.7334359909187553,0.6987167632113982,bilinear-fp,45123
validation,data/train/validation/data.csv,128,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4014586210250854,0.6732666675485736,0.5098960450123291,bilinear-fp,45123
test,data/train/test/data.csv,128,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.475795865058899,0.6944806527863591,0.675172302016929,bilinear-fp,45123
training,data/train/train/data.csv,129,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.251190185546875,0.7465124490713734,0.7131969187434684,bilinear-fp,263739
validation,data/train/validation/data.csv,129,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.373862862586975,0.6588851090758693,0.5133220193051207,bilinear-fp,263739
test,data/train/test/data.csv,129,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4571266174316406,0.7030375001835864,0.6869428959941422,bilinear-fp,263739
